# Planning only. Never loaded by catalog.cjs. No answer prose or approval.
# batch|id|domain|concept|canonical question|intent|priority|NTM need|surfaces|required treatment|source type|time sensitivity|reuse existing answers
2|leverage-downside|returns|new:leverage|Hur förstärker hävstång både vinst och förlust?|calculation|P1|Canonical explanation for existing leverage tool|Leverage,Academy|formula example;limitation|REGULATOR|stable;financing terms vary|compounding,diversification
2|contribution-timing|saving|compounding|Varför spelar insättningarnas tidpunkt roll i en sparkalkyl?|application|P1|Explain existing monthly contribution convention|Compounding,Savings|formula example;limitation|NTM_MATH|stable;tool convention|compounding,cagr
2|fee-double-count|saving|fees|Hur undviker jag att dra av samma avgift två gånger?|misconception|P1|Prevent net/gross assumption errors|Fees,Compounding|example;limitation|REGULATOR|stable;product definitions vary|annual-fees,fees
2|savings-target|saving|compounding|Hur tolkar jag tiden till ett sparmål när avkastningen är ett antagande?|interpretation|P1|Keep existing goal results conditional|Savings,FIRE|example;limitation|NTM_MATH|stable;assumptions dated|compounding
2|isk-inputs|saving|isk|Vilka värden och insättningar behöver jag för ISK-kalkylatorn?|application|P1|Help existing tax input workflow|ISK|example;limitation|SE_TAX|time-sensitive;SE income year and registry|isk
2|asset-ownership|basics|shares|Vad innebär det att äga en aktie?|definition|P1|Foundation before per-share metrics|Academy,Research|example;limitation|REGULATOR|stable;jurisdiction caveats|dilution,dividends
2|risk-horizon|basics|new:time-horizon|Varför behöver tidshorisonten vara tydlig innan jag väljer risk?|application|P1|Clarify scenario assumptions without advice|Academy,Savings,Research|example;limitation|REGULATOR|stable|diversification,thesis
2|liquidity|basics|new:liquidity|Vad betyder likviditet för en investering?|definition|P1|Explain exit and cash-need constraints|Academy,Research|example;limitation|REGULATOR|stable|diversification
2|fund|stocks|new:fund|Vad är en fond?|definition|P1|Basic object missing beside fee tools|Academy,Fees|example;limitation|FUND_DOCS|stable;product terms vary|annual-fees,diversification
2|etf|stocks|new:etf|Vad är en ETF?|definition|P1|Explain exchange-traded fund context|Academy,Fees,Purchase|example;limitation|FUND_DOCS|stable;product terms vary|fees,diversification
2|index|stocks|new:index|Vad är ett aktieindex?|definition|P1|Explain benchmark and macro context|Academy,Macro|example;limitation|INDEX_METHOD|stable;method updates|market-cap
2|active-passive|stocks|new:fund|Vad skiljer aktiv från passiv fondförvaltning?|comparison|P2|Context for fee comparison without ranking|Academy,Fees|comparison;example;limitation|FUND_DOCS|stable;mandates vary|annual-fees
2|fund-etf|stocks|new:etf|Vad skiljer handel i en ETF från handel i en traditionell fond?|comparison|P2|Explain costs and execution differences|Academy,Purchase,Fees|comparison;example;limitation|FUND_DOCS|stable;market and fund terms vary|fees
2|fund-overlap|stocks|diversification|Hur upptäcker jag överlapp mellan fondinnehav?|process|P2|Turn diversification caveat into procedure|Academy,Research|example;limitation|FUND_DOCS|time-sensitive holdings;stable method|diversification
3|cpi-pce|macro|macro|Vad skiljer CPI från PCE:s prisindex?|comparison|P1|Close explicit Macro comparison gap|Macro,Academy|comparison;example;limitation|MACRO_STATS|stable;US methodology changes|macro-releases,inflation
3|headline-core|macro|inflation|Vad skiljer total inflation från kärninflation?|comparison|P1|Explain release filters|Macro,Academy|comparison;example;limitation|MACRO_STATS|stable;measure and country scope|macro-releases,inflation
3|mom-yoy|macro|macro|Vad skiljer månadsförändring från årsförändring?|comparison|P1|Prevent unit confusion in release cards|Macro,Academy|comparison;formula example;limitation|MACRO_STATS|stable|macro-releases
3|seasonal-adjustment|macro|macro|Vad betyder säsongsjusterat i ett makrosläpp?|definition|P2|Explain observed release basis|Macro|example;limitation|MACRO_STATS|stable;method revisions|macro-releases
3|macro-revisions|macro|macro|Hur läser jag reviderade makrovärden utan att blanda versioner?|process|P1|Explain previous value and vintage|Macro,Research|example;limitation|MACRO_STATS|time-sensitive vintages;stable method|macro-releases
3|jobs-unemployment|macro|macro|Varför kan payrolls och arbetslöshet ge olika bilder?|comparison|P2|Distinguish surveys in existing calendar|Macro,Academy|comparison;example;limitation|MACRO_STATS|stable;US survey definitions|macro-releases
3|real-nominal-gdp|macro|macro|Vad skiljer real från nominell BNP?|comparison|P2|Explain existing GDP series|Macro,Academy|comparison;example;limitation|MACRO_STATS|stable;country and annualization scope|macro-releases,inflation
3|macro-no-forecast|macro|macro|Varför ger ett makroutfall ingen säker riktning för börsen?|limitation|P1|Prevent causal verdict from calendar outcome|Macro,Research|example;limitation|CENTRAL_BANK|stable;no current-market claim|macro-releases,interest-rates
3|estimate-dispersion|earnings|outlook|Vad säger spridningen mellan analytikerestimat?|interpretation|P2|Improve context beyond a single consensus|Research,Public Research|example;limitation|ESTIMATES|time-sensitive inputs;stable method|estimates
3|guidance-revision|earnings|outlook|Hur jämför jag två versioner av bolagets guidance?|process|P1|Explain tracked outlook changes|Research,Public Research|comparison;example;limitation|ISSUER|time-sensitive releases;stable method|guidance,estimates
3|fiscal-calendar|earnings|ttm|Vad skiljer räkenskapsår från kalenderår i en rapport?|comparison|P2|Prevent mismatched forecast periods|Research,Valuation|comparison;example;limitation|ACCOUNTING|stable;issuer calendars vary|ttm,forward
3|update-thesis|research|thesis|Hur uppdaterar jag en tes utan att skriva om dess historik?|process|P1|Support existing review/version workflow|Research,Public Research|example;limitation|NTM_METHOD|stable;workflow version|thesis
3|scenario-probability|research|thesis|Är ett bear-, base- eller bull-scenario en sannolikhetsprognos?|misconception|P1|Prevent false certainty in published ranges|Research,Valuation,Public Research|example;limitation|NTM_METHOD|stable|thesis,forward
3|valuation-sensitivity|research|thesis|Hur undersöker jag vilket antagande som driver min värdering?|application|P1|Use existing scenario controls deliberately|Valuation,Research|example;limitation|VALUATION|stable;input assumptions dated|pe,forward,thesis
3|report-snapshot|research|thesis|Vad betyder datum och version när jag läser en publicerad NTM-analys?|application|P1|Explain frozen report scope and provenance|Public Research,Research|example;limitation|NTM_METHOD|time-sensitive product contract|thesis
3|revenue-growth|fundamentals|revenue|Hur skiljer jag organisk tillväxt från förvärv och valuta?|interpretation|P2|Explain growth bridge instead of headline|Research,Public Research|example;limitation|ISSUER|stable;issuer reconciliation varies|revenue,fx
4|ebit-ebitda|fundamentals|new:ebitda|Vad skiljer EBIT från EBITDA?|comparison|P2|Support debt and margin reading|Research,Academy|comparison;example;limitation|NON_GAAP|stable;definitions vary|margins,debt,fcf
4|gross-margin|fundamentals|margins|Hur räknar jag bruttomarginal på jämförbara intäkter och kostnader?|calculation|P2|Separate calculation from three-margin overview|Research,Academy|formula example;limitation|ACCOUNTING|stable;classification varies|margins,revenue
4|debt-maturity|fundamentals|debt|Varför kan skuldförfall vara viktigare än nettoskuldens storlek?|interpretation|P2|Deepen existing debt risk explanation|Research,Public Research|example;limitation|ACCOUNTING|time-sensitive debt schedule;stable method|debt
4|enterprise-value|valuation|new:enterprise-value|Vad betyder enterprise value?|definition|P2|Clarify equity versus business value|Research,Valuation,Academy|formula example;limitation|VALUATION|stable;conventions vary|market-cap,debt
4|ev-market-cap|valuation|new:enterprise-value|Vad skiljer enterprise value från börsvärde?|comparison|P2|Prevent numerator mismatch|Research,Academy|comparison;example;limitation|VALUATION|stable|market-cap,debt
4|ev-ebitda-limits|valuation|new:enterprise-value|Vilka begränsningar har EV/EBITDA?|limitation|P2|Avoid cash-flow or universal-value inference|Research,Academy|example;limitation|VALUATION|stable;sector and definition scope|debt,fcf
4|peg-limitations|valuation|peg|När blir PEG missvisande?|limitation|P2|Separate denominator and duration caveats|Valuation,Research|example;limitation|VALUATION|stable;forecast basis dated|peg,forward
4|discounting|valuation|new:discounting|Varför påverkar avkastningskravet ett framtida belopps nuvärde?|interpretation|P2|Explain existing rate-sensitivity concept|Valuation,Research,Macro|formula example;limitation|VALUATION|stable;assumptions dated|bond-yields,interest-rates
4|cashflow-return|returns|return|Varför räcker inte CAGR när jag sätter in eller tar ut pengar?|limitation|P2|Explain existing return-tool boundary|Returns,FIRE|example;limitation|RETURN_METHOD|stable|cagr,compounding
4|sequence-risk|returns|return|Varför spelar avkastningens ordning roll när jag gör uttag?|interpretation|P2|Improve existing FIRE withdrawal understanding|FIRE,Returns|example;limitation|RETURN_METHOD|stable;model assumptions|cagr,compounding
4|price-value|basics|market-cap|Är en aktie med låg kurs automatiskt billig?|misconception|P2|Prevent per-share price anchoring|Academy,Purchase,Valuation|example;limitation|REGULATOR|stable|market-cap,pe
4|order-spread|basics|new:spread|Vad är köp- och säljspread?|definition|P2|Explain cost omitted from commission label|Purchase,Fees,Academy|example;limitation|EXCHANGE|stable;market mechanics vary|fees
4|split-dilution|stocks|shares|Vad skiljer en aktiesplit från utspädning?|comparison|P2|Explain GAV/share-count events|Purchase,Research,Academy|comparison;formula example;limitation|REGULATOR|stable;event terms vary|dilution,gav
4|index-weighting|stocks|new:index|Vad betyder det att ett index är börsvärdesviktat?|definition|P2|Explain concentration in index exposure|Academy,Macro|example;limitation|INDEX_METHOD|stable;index rules vary|market-cap,diversification
4|isk-year-scope|saving|isk|Varför måste inkomståret anges i en ISK-beräkning?|limitation|P1|Avoid using a current parameter for another year|ISK,Academy|example;limitation|SE_TAX|time-sensitive;SE income year and registry|isk
